id,name,description,key,published_at,created_by,updated_by,created_at,updated_at,subclass_of
2,Nhi Tiêu hóa - Gan mật,"Đảm nhận khám, nội soi chẩn đoán và điều trị các bệnh về đường tiêu hóa - gan mật ở trẻ em.

Các chứng bệnh thường gặp như: các bệnh hệ thống tiêu hoá, gan mật, tiêu chảy cấp, tiêu chảy kéo dài, xuất huyết tiêu hoá, gan mật cấp tính và mãn tính, viêm loét dạ dày, tá tràng, viêm gan mãn, hội chứng ứ mật kéo dài, u ở bụng,...",1a7b6db64f3c83e82399b007a23caa3b23ea7ae4cce08eb244907ba365a8fbfe,2022-01-20 07:55:28.497+00,,1,2022-01-19 07:57:23.731+00,2022-01-20 07:55:28.512+00,20
4,Huyết học,"Vai trò hoạt động của khoa Huyết học - Truyền máu là thực hiện xét ngiệm chẩn đoán các nguyên nhân thiếu máu, các bệnh lý tan máu (hồng cầu nhỏ hình cầu di truyền, tan máu tự miễn…), xét nghiệm ngưng tập tiểu cầu và xét nghiệm chẩn đoán phân loại bạch cầu cấp,...Nguyên lý xét nghiệm chẩn đoán các bệnh về máu thông qua xét nghiệm huyết tủy đồ, sinh thiết tủy, xác định kiểu hình miễn dịch. Ngoài ra, khoa còn thực hiện các xét nghiệm đông máu phục vụ bệnh nhân sàng lọc trước mổ; các xét nghiệm chuyên sâu như định lượng các yếu tố đông máu; các xét nghiệm miễn dịch và xét nghiệm cao cấp phục vụ chương trình ghép tế bào gốc, ghép tạng.",dd423fec9e78ee4fcbdb930b3b0f40d3507e1d8815718ef0c4c024b4cd2980cd,2022-01-20 07:57:41.157+00,,,2022-01-19 07:57:23.744+00,2022-01-20 07:57:41.17+00,
10,Truyền nhiễm,"Khoa lâm sàng có chức năng tiếp nhận khám, chẩn đoán, điều trị, hợp tác chống dịch bệnh và chăm sóc bệnh nhân bị bệnh do vi khuẩn, ký sinh trùng, các bệnh nhiễm trùng chưa xác định rõ nguyên nhân gây bệnh. Khoa truyền nhiễm còn bao gồm chức năng tổ chức tiêm phòng vắc xin theo chỉ đạo của Bộ Y Tế, thực hiện cả đối với trẻ em và người lớn, trong đó đặc biệt phục vụ những người trưởng thành, điển hình như tiêm vắc xin phòng ngừa virut HPV, viêm gan A, viêm gan B, Zona, Herpes, sốt rét, viêm phổi,...",b16a7d0515c9c548d259312b4eab4d6c2987908645615626b1f4db1cc939aa8d,2022-01-20 08:16:23.252+00,,,2022-01-19 07:57:23.783+00,2022-01-20 08:16:23.281+00,
6,Phụ sản,"Chuyên khoa Phụ sản là chuyên khoa có chức năng theo dõi thai kỳ, khám và điều trị cho phụ nữ mang thai với các bệnh lý đi kèm của thai nhi và phần phụ của thai.<br>Chuyên khoa Sản khoa chuyên sâu về khám và quản lý thai thường; tư vấn và cung cấp các dịch vụ chăm sóc thai sản; khám và quản lý thai nghén nguy cơ cao; hỗ trợ sinh sản như IVF, IUI; điều trị thai bệnh lý như: song thai, đa thai, rau tiền đạo, rau cài răng lược, dọa sảy thai, dọa sinh non, mẹ có bệnh lý nội khoa, tiền sản giật, u buồng trứng, u xơ tử cung, ung thư khi mang thai, thai dị tật bẩm sinh, thai chậm phát triển trong tử cung, nhiễm trùng bào thai,…",9bc7ca24b7d876648f0171b10bb9d9763a9253be034a3a24abf7ea2c36cd4d06,2022-01-20 08:05:30.59+00,,1,2022-01-19 07:57:23.756+00,2022-01-20 08:05:30.606+00,
12,Ung bướu (điều trị tia xạ) ,"Khoa ung bướu là một trong những chuyên khoa quan trọng của phân ngành ngoại khoa, có chức năng chẩn đoán, điều trị, tầm soát ung thư và cung cấp đầy đủ các dịch vụ chăm sóc y tế cần thiết cho bệnh nhân ung thư bao gồm: hoá trị, xạ trị, điều trị ngoại khoa, điều trị nội khoa, ghép tế bào gốc...; đồng thời giúp kiểm soát các cơn đau bằng cách vật lý trị liệu, phong bế thần kinh ngoại biên, phong bế giao cảm,...

Các bệnh thường gặp của khoa ung bướu có thể kể đến như: ung thư gan, ung thư phổi, ung thư cổ tử cung, ung thư vú, ung thư buồng trứng, ung thư tuyến giáp, ung thư da, ung thư đại trực tràng, ung thư dạ dày,...",ed41fcdae6a93669905f1ac598706aaf93869dc642d08ae42b8d457679cabd49,2022-01-20 08:24:48.185+00,,1,2022-01-19 07:57:23.794+00,2022-01-20 08:24:48.198+00,
14,Nội nha,"Là chuyên ngành nha khoa chữa trị các bệnh lý của tủy răng bằng phương pháp nội nha (điều trị đi sâu vào trong chân răng).

Những bệnh lý phổ biến của khoa nội nha như: viêm tuỷ có hồi phục, viêm tuỷ không hồi phục, hoại tử tuỷ, viêm tuỷ cấp,...",a3739cd5539db057fa2612a858e1e0982fe0140bf8d47686bd58640e19a3ceee,2022-01-20 08:30:38.056+00,,1,2022-01-19 07:57:23.809+00,2022-01-20 08:30:38.074+00,19
13,Nhi Hô hấp,,4d7067336a233b2bb77105250ecdf0066c7bf3520dce3f6e3786efacbdb66f5a,2022-01-20 10:36:53.922+00,,1,2022-01-19 07:57:23.8+00,2022-01-20 10:36:53.937+00,20
20,Nhi,"Là một trong bốn phân ngành y khoa quan trọng thuộc khối lâm sàng, chuyên sâu về chăm sóc sức khoẻ trẻ sơ sinh, trẻ em và trẻ nhỏ dưới 16 tuổi, bao gồm: nhi khoa tổng quát, nhi chuyên sâu (nội tiết, thận, thần kinh, phổi, tiêu hoá) , phẫu thuật nhi (giải phẫu, chỉnh hình, phẫu thuật, tiết niệu), nhi khoa sơ sinh, các bệnh truyền nhiễm và tiêm chủng",a944f7d7410f89ca1b210d01b40ffa725ac4a55522f63a637c2fba45cf329187,2022-01-20 08:42:45.182+00,,,2022-01-19 07:57:23.852+00,2022-01-20 08:42:45.193+00,
23,Tiêu hóa - Gan mật,"Là một chuyên khoa thuộc khối lâm sàng, giữ chức năng khám chữa tổng hợp các bệnh liên quan đến đường tiêu hóa và các cơ quan phụ trợ tiêu hoá.

Chuyên khoa Tiêu hóa - Gan mật bao gồm 2 chuyên khoa nhỏ là Nội Tiêu hóa - Gan mật và Ngoại Tiêu hóa - gan mật",25d40d8733669538a416ea3811b995351017515e3a1202a11c62a79ece53fba6,2022-01-20 09:59:58.327+00,,1,2022-01-19 07:57:23.873+00,2022-01-20 09:59:58.341+00,
17,Tâm lý,,a51b4bf713428f0149d2f0ac8c3405542726d1c75ca1ab97f89f1cad8a9a4e2d,2022-01-20 09:58:31.199+00,,1,2022-01-19 07:57:23.83+00,2022-01-20 09:58:31.211+00,
21,Phụ khoa,"Chuyên khoa Phụ khoa là chuyên khoa có chức năng khám, chẩn đoán, tư vấn và điều trị các bệnh lý phụ khoa lành tính, các bệnh lý cấp cứu và các bệnh liên quan tới nội tiết sinh sản.

Chuyên khoa Phụ khoa chuyên sâu về điều trị các bệnh lý nội tiết như rong kinh, băng huyết, vô kinh, rối loạn nội tiết (vị thành niên và mãn kinh), sẩy thai liên tiếp, điều hoà sinh sản, nạo thai dưới 3 tháng tuổi, phá thai to, hút thai khó dưới 12 tuần,..

Các phương pháp điều trị đang được áp dụng tại chuyên khoa Phụ khoa gồm:

Phương pháp phẫu thuật nội soi được áp dụng cắt tử cung, bóc u xơ, soi buồng tử cung,...
Phương pháp ngoại khoa truyền thống được thực hiện trong phẫu thuật đường âm đạo, cắt tử cung đường âm đạo, các phẫu thuật trong dị dạng sinh dục, sa sinh dục, u nang buồng trứng...",27b58a8ec7e73d4c5f180a93d77a73d833099c0eb83dd0f7462b207038498a3e,2022-01-20 10:05:57.145+00,,1,2022-01-19 07:57:23.858+00,2022-01-20 10:05:57.164+00,
25,Nam khoa,"Chức năng và nhiệm vụ của Nam Khoa là chuyên khám, điều trị cũng như phát hiện sớm các vấn đề sức khỏe liên quan đến cơ quan sinh dục của nam giới, các chứng bệnh sinh lý, chức năng sinh sản và bệnh lây lan qua đường tình dục.

Các căn bệnh phổ biến của khoa như: viêm tinh hoàn, viêm bao quy đầu, viêm bàng quang, viêm niệu đạo, dài bao quy đầu, hẹp bao quy đầu,...",b87e07e6107e2052677c978365d37defe2c6f43582bb9ba1015444fa25ad0cef,2022-01-20 10:07:25.212+00,,1,2022-01-19 07:57:23.884+00,2022-01-20 10:07:25.229+00,
30,Nội Thận - Tiết niệu,"Chuyên khám, điều trị các bệnh lý về đường tiết niệu (gồm thận - niệu quản - bàng quang - niệu đạo), và các bệnh lý về tuyến tiền liệt ở nam giới theo phương pháp nội khoa.

Các bệnh lý phổ biến thuộc khoa Nội Thận - Tiết niệu như: tiểu không tự chủ, ung thư thận, viêm tuyến tiền liệt, ung thư tuyến tiền liệt,...",3c0029975152c02941f5e4bf7ff6ea44392d3280e648ea823f0998a3994a81ec,2022-01-20 10:32:55.361+00,,1,2022-01-19 07:57:23.92+00,2022-01-20 10:32:55.373+00,
15,Nội Hô hấp,"Khoa Nội hô hấp với chức năng điều trị tập trung theo phương pháp nội khoa bao gồm khám lâm sàng thực thể phối hợp thăm dò chức năng hô hấp theo phương pháp cận lâm sàng, trị liệu bằng thuốc dạng hít và dạng uống, xông rửa và thông chống nghẹt, chọc dò và sinh thiết.

Các bệnh lý thường gặp như: viêm phổi, viêm phế quản, viêm màng phổi không do lao, apxe phổi, ung thư phổi màng phổi, bệnh phổi tắc nghẽn mạn tính,tràn dịch màng phổi không do lao,các bệnh phổi hiếm găp: sarcoidosis, bệnh phổi biệt lập…",996c0ad48dd11d832bfcca26f1a64aa37181fa680fcc56581a542b46db494ac2,2022-01-20 10:35:07.975+00,,1,2022-01-19 07:57:23.816+00,2022-01-20 10:35:07.99+00,
29,Nhi Thận - Tiết niệu,"Là chuyên khoa dành riêng cho việc chẩn khám, điều trị các bệnh lý về hệ thống thận - tiết niệu, rối loạn tiểu tiện bàng quang thần kinh, thực hiện lọc máu và ghép thận cho trẻ em.

Các bệnh trạng thường gặp ở khoa Nhi Thận - Tiết niệu bao gồm: hẹp khúc nối niệu quản, lỗ tiểu đóng thấp hay đóng cao, van niệu đạo sau và trước, dị dạng bẩm sinh hệ tiết niệu, bệnh thận đa nang, hẹp khúc nối bể thận,...",7efc0b44e16d450e80c5f8c45d1d85847e703766875ebe7b396e85bb5556d8fc,2022-01-20 10:35:57.876+00,,1,2022-01-19 07:57:23.913+00,2022-01-20 10:35:57.889+00,20
18,Gan - Mật - Tụy,,f13b0d08e569946642a7db8864757421c96e9a88a363ab0ac2dc2d649341ae69,2022-01-20 10:38:21.074+00,,1,2022-01-19 07:57:23.839+00,2022-01-20 10:38:21.087+00,
9,Nội cơ – xương - khớp,"Khám, chẩn đoán và điều trị các bệnh lý về cơ, xương, khớp bằng các phương pháp nội khoa như: thuốc men, tiêm chích, công nghệ tế bào gốc nguồn gốc mô mỡ và huyết tương giầu tiểu cầu, vật lý trị liệu. Chức năng của khoa còn giúp phát hiện sớm các dị tật xương, khớp, cột sống; ngăn ngừa thoái khớp thứ phát; điều trị sớm bệnh còi xương ở trẻ em; gù vẹo cột sống và các tật khớp gối như chân vòng kiềng, bàn chân ngựa.",ef5c3354591796bca3b607f8a1128da9cc0cb72df9b4bcd400eeb82c7d50d6cc,2022-01-20 06:49:19.856+00,,1,2022-01-19 07:57:23.777+00,2022-01-20 06:49:19.867+00,
3,Tai - Mũi - Họng,"Chuyên khoa Tai Mũi Họng chuyên khám và điều trị các bệnh lý tai mũi họng thông thường, các khối u vùng đầu mặt cổ, các dị tật bẩm sinh vùng tai mũi họng bằng các phương pháp ngoại khoa phổ biến như phẫu thuật, vá nhĩ qua kính hiển vi hoặc nội soi, mổ lấy rò, phẫu thuật Bondy, khí dung họng mũi, chích cuốn mũi, đốt cuốn mũi,...

Với các bệnh lý thường gặp ở khoa Tai Mũi Họng như: viêm đau họng, ù tai, viêm mũi không do dị ứng, ung thư cổ họng, thủng màng nhĩ, viêm tai giữa, viêm amidan, viêm V.A, viêm xương cấp, polyp dây thanh, ung thư thanh quản,...",70070261e7dafeceb99065feefa50dc06a21721c419ef070898e18fe2530a873,2022-01-20 07:56:58.699+00,,1,2022-01-19 07:57:23.738+00,2022-01-20 07:56:58.713+00,
5,Nội tiết,"Nội tiết là chuyên khoa trực thuộc lĩnh vực nội khoa, đảm nhận khám, chẩn đoán và chuyên trị với tính chất theo dõi lâu dài dựa trên đặc tính bệnh - là các bệnh lý mãn tính liên quan đến tình trạng rối loạn chức năng của hệ thống nội tiết và các hormon. 

Các bệnh thường gặp bao gồm: tiểu đường, rối loạn tuyến giáp, rối loạn cholesterol, tuyến yên và tuyến thượng thận, các rối loạn hormone sinh sản, hạ đường huyết, chậm phát triển, huyết áp thấp, cường tuyến giáp, viêm tuyến giáp, ung thư tuyến giáp, bệnh Grave-Basedow, loãng xương, viêm xương biến dạng, còi xương và chứng nhuyễn xương, rối loạn tuyến yên, u tuyến yên, rối loạn tuyến thượng thận,...",d410c7a1c3b998de58ec864b272fa4a3f32de48dc16361b95b0821d630c033bd,2022-01-20 07:58:27.314+00,,1,2022-01-19 07:57:23.75+00,2022-01-20 07:58:27.326+00,
8,Da liễu,"Chuyên khoa da liễu lâm sàng đảm nhận chẩn đoán, điều trị, dự phòng và phục hồi chức năng các bệnh lý thuộc chuyên ngành Phong và Da liễu (da và các phần phụ của da gồm lông, tóc, móng, tuyến mồ hôi). Ngoài ra còn bao gồm các bệnh lây truyền qua đường tình dục, và các bệnh lý liên quan đến da liễu do nhiễm HIV/AIDS.

Những căn bệnh thường gặp ở khoa da liễu như: nám da, tàn nhang, mụn/sẹo/rạn da, viêm da cơ địa, viêm da tiếp xúc dị ứng/kích ứng, các bệnh về sắc tố da, lão hoá da, nấm, giang mai, sùi màu gà, vi nấm sâu gây bệnh nội tạng, ung thư tế bào đáy, ung thư tế bào gai, ung thư hắc tố, hôi nách, bớt sắc tố bẩm sinh, u máu, các khối u lành tính ở da, móng chọc thịt, nốt ruồi,...",2c811f1912182ccf3aac2e6331308fb1fc473be86e28493e54c1fcecbcce46fd,2022-01-20 08:14:25.246+00,,1,2022-01-19 07:57:23.769+00,2022-01-20 08:14:25.275+00,
16,Mắt,"Nhãn khoa là một phân ngành y học chuyên về mắt và những bệnh liên quan đến mắt. Khoa có chức năng chăm sóc sức khỏe mắt và thị giác toàn diện cho trẻ em, người lớn và người già bao gồm kiểm tra tật khúc xạ, khám tổng quát, siêu âm chẩn đoán, điều trị bằng laser và phẫu thuật. Bệnh cạnh đó, nhãn khoa cũng có nhiệm vụ phối hợp với các khoa lâm sàng khác trong việc điều trị các biến chứng bệnh lý và tổn thương về mắt do tai nạn.

Các bệnh lý nhãn khoa phổ biến như: đau mắt hột, viêm bờ mi, mỏi mắt, bong giác mạc, bệnh Eales, Glôcôm, bệnh võng mạc, cận thị, khiếm thị, cườm thuỷ tinh thể, lẹo, lé, lệch khúc xạ, loạn thị, rối loạn sắc giác, tăng nhãn áp,...",1226a1145ae10281833a875d72d52fb47d60bfa41976f1686f2231ef70aaf1de,2022-01-20 08:38:19.596+00,,1,2022-01-19 07:57:23.823+00,2022-01-20 08:38:19.61+00,
19,Răng - Hàm - Mặt,"Khoa Răng - Hàm - Mặt là một trong những phân ngành lớn và quan trọng của khối lâm sàng. Là một chuyên khoa phụ trách điều trị bệnh lý chuyên sâu và thẩm mỹ trên toàn bộ cấu trúc răng (răng, xương răng, tuỷ răng,...), hàm (vòm miệng, quai hàm, khớp hàm,...) và mặt (xương trán, xương gò má, xương thái dương,...). 

Khoa Răng - Hàm - Mặt có thể được phân loại thành các chuyên khoa chính, nhằm phục vụ các nhóm nhu cầu khám chữa của người bệnh như: Nha khoa Phục hình, Chấn thương chỉnh hình hàm mặt, Nha khoa tổng quát, Nha khoa Thẩm mỹ và Nội nha.

",d523fb89b334efd6f49cb642ee38e0c5667af199d384d1c9597d97c62411ed9f,2022-01-20 08:39:14.928+00,,1,2022-01-19 07:57:23.845+00,2022-01-20 08:39:14.945+00,
24,Nhi Thần kinh,"Khoa phòng dành riêng trong việc tiếp nhận. khám và điều trị các bệnh lý thần kinh cho bệnh nhi từ 0 - 15 tuổi. Được hình thành từ việc đào tạo chuyên sâu các chuyên gia thần kinh học, thầy thuốc và bác sĩ nhi khoa.

Khoa Nhi Thần kinh thực hiện tổng hợp các kỹ thuật chẩn đoán và phương pháp điều trị thần kinh học trẻ em, từ sinh thiết da, sinh thiết cơ, xét nghiệm thể nhiễm sắc, xét nghiệm miễn dịch,...cho đến kết hợp với y học cổ truyền, phục hồi chức năng, phẫu thuật thần kinh và cả tâm lý liệu pháp.",5762f133805a28e623b2b9471beeb7520289f7e18b9e8eaff0e10c1df3d1a0dd,2022-01-20 09:02:12.903+00,,1,2022-01-19 07:57:23.878+00,2022-01-20 09:02:12.918+00,20
26,Tim mạch,"Chuyên khoa Tim mạch là một ngành quan trọng thuộc khối Y học lâm sàng, giữ chức năng khám, chẩn đoán, tư vấn và điều trị các bệnh lý liên quan đến hệ thống tim mạch, cơ quan quan trọng giúp duy trì sự sống của con người.
Chuyên khoa Tim mạch được phân thành các lĩnh vực Nội Tim mạch, Can thiệp tim mạch và Ngoại Tim mạch, chuyên sâu về điều trị các bệnh lý: mạch máu; van tim; cơ tim; rối loạn nhịp tim; tim bẩm sinh; tim nhiễm khuẩn,…
Các phương pháp điều trị đang được áp dụng tại chuyên khoa Tim mạch:

Khám lâm sàng: Kiểm tra huyết áp, nghe tim, khám các dấu hiệu và triệu chứng.
Xét nghiệm máu: Kiểm tra tình trạng thiếu máu, nồng độ cholesterol, đái tháo đường, suy tim,…
Điện tâm đồ, siêu âm tim hiện đại 3D, 4D
Xét nghiệm chuyên sâu: Holer huyết áp, điện tim, chụp cắt lớp vi tính động mạch vành, xạ hình cơ tim ...",4bc1d5c7f95e509443ca4765c6a8a8c1b11750eb1aef23b74d10a1677a450ef3,2022-01-20 10:00:37.586+00,,1,2022-01-19 07:57:23.892+00,2022-01-20 10:00:37.597+00,
27,Nội Tiêu hóa - Gan mật,"Là một khoa phòng thuộc lĩnh vực nội khoa, chuyên khám và điều trị các bệnh lý có liên quan đến hệ thống tiêu hóa - gan mật như: loét dạ dày - tá tràng, viêm dạ dày cấp và mạn tính, viêm đại trực tràng chảy máu, viêm gan mạn tính,..

Các phương pháp trị liệu được áp dụng trong lĩnh vực nội tiêu hoá - gan mật bao gồm: cầm máu ổ loét bằng cách tiêm cầm máu, tiêm xơ hay thắt vòng cao su, chọc hút và bơm cồn, đặt stent thực quản, nội soi chẩn đoán và nội soi điều trị (có hoặc không có gây mê),... đồng thời kết hợp với các thiết bị phụ trợ khác trong lĩnh vực cận lâm sàng như siêu âm, xét nghiệm, sinh thiết,...",e4e2fde6435323261db79a805f78c1b5c95cfb66d659b8f330a571898dbae5e7,2022-01-20 10:11:03.342+00,,1,2022-01-19 07:57:23.9+00,2022-01-20 10:11:03.365+00,
11,Ngoại Thận - Tiết niệu,"Điều trị ngoại khoa theo hướng chuyên sâu với các bệnh lý Thận - Tiết niệu, bao gồm chữa trị các chứng bệnh tiền liệt tuyến (u xơ và ung thư) bằng các phẫu thuật xâm lấn tối thiểu được thực hiện qua niệu đạo; phẫu thuật khâu treo âm đạo vào u nhô trong điều trị bệnh lý sa sàn chậu ở nữ qua nội soi ổ bụng; phẫu thuật cắt bàng quang toàn phần, thay thế bàng quang bằng ruột non, ruột già (phẫu thuật Camay).

Các bệnh lý thường gặp như: ung thư bàng quang, sỏi hệ tiết niệu, nhiễm khuẩn tiết niệu, chấn thương thận, chấn thương niệu đạo, u xơ tiền liệt tuyến, ung thư thận, ung thư tiền liệt tuyến,...",c140d5dba8372ce8314b71558da4d8198777f26b496c333579ecb7e0fa0f8afd,2022-01-20 10:14:01.08+00,,1,2022-01-19 07:57:23.788+00,2022-01-20 10:14:01.095+00,
28,Nội thần kinh,"Chuyên khoa Nội Thần kinh thuộc khối Y học lâm sàng, là một lĩnh vực nội khoa giữ chức năng khám, chẩn đoán, tư vấn và điều trị chuyên sâu những bệnh lý có liên quan đến yếu tố thần kinh.
Chuyên khoa Nội Thần kinh chuyên điều trị các bệnh: đau đầu, đau vai gáy, đau thắt lưng hông, rối loạn tiền đình, chóng mặt do thiếu máu não, rối loạn về giấc ngủ, khám thần kinh và điều trị liệt dây 7 ngoại vi, liệt nửa người do đột quỵ não, sa sút trí tuệ, rối loạn vận động như bệnh Parkinson, động kinh, viêm não tủy, viêm đa dây thần kinh, các bệnh gây thoái hoá hệ thần kinh, nhiễm trùng thần kinh, bệnh lý thần kinh ngoại biên, nhiễm độc thần kinh, rối loạn chuyển hóa,…
Các phương pháp điều trị đang được áp dụng tại chuyên khoa Nội Thần kinh:

Xét nghiệm để chẩn đoán chính xác: sàng lọc máu, nước tiểu, di truyền; điện não đồ; điện cơ; EMG (hoạt động điện trong cơ bắp)
Chẩn đoán hình ảnh: chụp cắt lớp vi tính (CT scan); cộng hưởng từ (MRI); chụp cắt lớp phát xạ positron (PET); chụp cắt lớp phát xạ đơn photon (SPECT).",b6ffbe55764f18671548a341c566893b066f1ce516a297ac9d25e5b5a7e47a07,2022-01-20 10:34:03.599+00,,1,2022-01-19 07:57:23.908+00,2022-01-20 10:34:03.616+00,
